reference,name,listed-building,listed-building-grade,notes,start-date,end-date,entry-date,geometry
LB489,(South side) Nos.33-40 (Consecutive) The London Foot Hospital and attached railings,1112997,I,,1954-06-10,,,"POLYGON ((-0.13922 51.522535,-0.139246 51.522524,-0.139312 51.522499,-0.139262 51.522451,-0.139234 51.522423,-0.139217 51.522405,-0.139197 51.522384,-0.139287 51.522347,-0.139376 51.522433,-0.139414 51.522417,-0.139572 51.522352,-0.139603 51.522339,-0.139613 51.522348,-0.139682 51.522319,-0.139686 51.522324,-0.139746 51.522299,-0.139769 51.52229,-0.13986 51.52225,-0.139883 51.522269,-0.139898 51.522283,-0.139918 51.522274,-0.140064 51.522401,-0.140067 51.522404,-0.140071 51.52241,-0.140073 51.522413,-0.140073 51.522415,-0.140073 51.522422,-0.140072 51.522424,-0.14007 51.522426,-0.140068 51.522428,-0.140065 51.52243,-0.139997 51.522458,-0.139983 51.522444,-0.139957 51.522456,-0.13997 51.52247,-0.139907 51.522495,-0.139893 51.522482,-0.139868 51.522493,-0.139834 51.522507,-0.139848 51.522521,-0.139785 51.522547,-0.139716 51.522576,-0.139703 51.522563,-0.139632 51.522592,-0.139648 51.522605,-0.1395 51.522668,-0.139485 51.522654,-0.139479 51.522657,-0.139451 51.522668,-0.139465 51.522682,-0.139403 51.522708,-0.139387 51.522695,-0.139363 51.522705,-0.139378 51.522719,-0.139311 51.522748,-0.139307 51.522749,-0.139304 51.52275,-0.139299 51.52275,-0.139296 51.52275,-0.13929 51.522749,-0.139286 51.522748,-0.13928 51.522744,-0.139276 51.522742,-0.139148 51.52262,-0.139169 51.522612,-0.139146 51.522591,-0.139128 51.522573,-0.13922 51.522535))"
LB1484,No.41 Indian YMCA,1113000,II,,1996-03-06,,,"POLYGON ((-0.138637 51.522983,-0.138579 51.52293,-0.138741 51.522861,-0.138706 51.522826,-0.138699 51.522829,-0.138588 51.522723,-0.138611 51.522712,-0.138567 51.522671,-0.138801 51.522575,-0.138807 51.522574,-0.13898 51.522737,-0.139069 51.522821,-0.139038 51.522834,-0.138909 51.522888,-0.138863 51.522908,-0.138835 51.52292,-0.138681 51.522984,-0.138651 51.522996,-0.138637 51.522983))"
LB495,(North side) New Court Nos.1-30 (consec),1113005,II,,1986-08-20,,,"POLYGON ((-0.177016 51.557405,-0.177163 51.557486,-0.177307 51.557566,-0.177451 51.557647,-0.177373 51.557702,-0.17731 51.557667,-0.177292 51.557657,-0.177229 51.557622,-0.177164 51.557587,-0.177145 51.557576,-0.177084 51.557542,-0.177024 51.557508,-0.177004 51.557496,-0.176938 51.55746,-0.176952 51.55745,-0.177001 51.557416,-0.177016 51.557405))"
LB496,(North side) New Court Nos.31-40 (consec),1113006,II,,1986-08-20,,,"POLYGON ((-0.177273 51.557801,-0.177291 51.557789,-0.177363 51.557739,-0.17746 51.557794,-0.177302 51.557903,-0.177205 51.557848,-0.177238 51.557825,-0.177273 51.557801))"
LB509,(South side) New Court No.41,1113007,II,,1986-08-20,,,"POLYGON ((-0.176809 51.557683,-0.176901 51.557616,-0.176828 51.557575,-0.176825 51.557574,-0.176729 51.55764,-0.17673 51.557642,-0.176809 51.557683))"
LB510,(North side) The Wells and Campden Baths and Wash Houses,1113009,II,,1999-12-30,,,"POLYGON ((-0.17536 51.557745,-0.175306 51.557753,-0.175336 51.557806,-0.175382 51.557796,-0.175385 51.557802,-0.17542 51.557799,-0.175439 51.557799,-0.17545 51.557813,-0.175468 51.557808,-0.175589 51.557777,-0.175651 51.55776,-0.175692 51.557761,-0.175718 51.55776,-0.175718 51.557756,-0.175724 51.557719,-0.175501 51.557726,-0.175453 51.557732,-0.175417 51.557735,-0.17536 51.557745))"
LB511,(East side) The Lodge and attached railings,1113012,II,,1999-12-30,,,"POLYGON ((-0.128421 51.527041,-0.128408 51.527063,-0.128372 51.527054,-0.12838 51.527041,-0.128309 51.527025,-0.128327 51.526995,-0.128302 51.526989,-0.128339 51.526976,-0.128382 51.526959,-0.128421 51.526968,-0.128429 51.526955,-0.128466 51.526964,-0.128466 51.526966,-0.128465 51.526968,-0.128464 51.526971,-0.128462 51.526974,-0.128459 51.526978,-0.128457 51.526982,-0.128455 51.526985,-0.128452 51.526988,-0.128421 51.527041))"
LB515,(East side) Nos.44-94 (Even),1113016,II,,1974-05-14,,,"POLYGON ((-0.139894 51.554325,-0.139864 51.554319,-0.139891 51.554275,-0.139894 51.554275,-0.139905 51.554257,-0.139924 51.554261,-0.139935 51.55424,-0.139946 51.554234,-0.139942 51.554229,-0.139955 51.554208,-0.13994 51.554205,-0.139952 51.554184,-0.139972 51.554189,-0.139979 51.554176,-0.139974 51.554174,-0.13999 51.554147,-0.139974 51.554144,-0.139993 51.554111,-0.139997 51.554104,-0.140011 51.554078,-0.140027 51.554082,-0.140043 51.554054,-0.140057 51.554029,-0.140041 51.554026,-0.140053 51.554003,-0.14006 51.553993,-0.140077 51.553962,-0.140093 51.553966,-0.140109 51.553937,-0.140087 51.553931,-0.140086 51.553925,-0.140088 51.553921,-0.140089 51.553917,-0.140092 51.55391,-0.140097 51.553903,-0.140101 51.553897,-0.140106 51.553891,-0.140111 51.553886,-0.140122 51.553887,-0.140122 51.553882,-0.140126 51.553875,-0.140134 51.553863,-0.140142 51.553864,-0.140145 51.553852,-0.140146 51.553848,-0.140148 51.553842,-0.140153 51.553832,-0.140156 51.553826,-0.14016 51.553822,-0.140164 51.553818,-0.140169 51.553813,-0.140159 51.55381,-0.140172 51.553788,-0.140192 51.553792,-0.140204 51.55377,-0.140185 51.553764,-0.140198 51.553742,-0.140216 51.553746,-0.140229 51.553726,-0.140212 51.553722,-0.140228 51.553698,-0.140242 51.553702,-0.140255 51.553681,-0.14024 51.553677,-0.140254 51.553657,-0.140265 51.55366,-0.140279 51.553642,-0.140282 51.553636,-0.140297 51.553614,-0.140278 51.553609,-0.140289 51.553589,-0.140296 51.553591,-0.140307 51.553593,-0.14031 51.553593,-0.140323 51.553568,-0.140303 51.553564,-0.140315 51.553543,-0.140335 51.553548,-0.140348 51.553525,-0.140328 51.55352,-0.140341 51.553499,-0.14036 51.553504,-0.140377 51.553475,-0.140356 51.553471,-0.140367 51.553452,-0.140387 51.553457,-0.14041 51.553417,-0.14039 51.553413,-0.140401 51.553392,-0.140411 51.553375,-0.140431 51.553379,-0.140456 51.553336,-0.140436 51.553332,-0.140446 51.553314,-0.140466 51.553319,-0.140481 51.553292,-0.140482 51.553291,-0.140463 51.553286,-0.140473 51.553268,-0.140493 51.553272,-0.140507 51.553247,-0.140489 51.553244,-0.140487 51.553243,-0.140499 51.553222,-0.140519 51.553226,-0.140533 51.553202,-0.140558 51.553158,-0.140539 51.553153,-0.140546 51.55314,-0.140639 51.553161,-0.14069 51.553172,-0.140684 51.553181,-0.140657 51.553228,-0.140638 51.553261,-0.14063 51.553275,-0.14061 51.553308,-0.140605 51.553319,-0.140585 51.553352,-0.140579 51.553364,-0.140544 51.553424,-0.140509 51.553483,-0.140482 51.55353,-0.140457 51.553575,-0.140429 51.553621,-0.140416 51.553644,-0.140405 51.553663,-0.140379 51.553709,-0.140353 51.553753,-0.140327 51.553798,-0.140302 51.553842,-0.140265 51.553906,-0.140258 51.553919,-0.140231 51.553965,-0.140199 51.55402,-0.140194 51.55403,-0.140163 51.554082,-0.140131 51.554138,-0.140126 51.554146,-0.140097 51.554197,-0.140061 51.554259,-0.140035 51.554305,-0.140007 51.554351,-0.139982 51.554395,-0.139948 51.554453,-0.139905 51.554445,-0.139826 51.554427,-0.139834 51.554413,-0.139822 51.554411,-0.139835 51.554386,-0.139849 51.554389,-0.139857 51.554374,-0.139868 51.55437,-0.139842 51.554364,-0.139854 51.554344,-0.139873 51.554347,-0.139883 51.55433,-0.139894 51.554325))"
LB1760,(East side) Nos.96 AND 98,1113017,II,,1974-05-14,,,"MULTIPOLYGON (((-0.13986 51.554524,-0.139809 51.554513,-0.139805 51.554521,-0.139779 51.554515,-0.139783 51.554507,-0.139742 51.554498,-0.139736 51.554497,-0.139737 51.554495,-0.13978 51.554417,-0.139826 51.554427,-0.139905 51.554445,-0.13986 51.554524)),((-0.139715 51.55454,-0.139758 51.554549,-0.139763 51.55454,-0.139787 51.554545,-0.139786 51.554555,-0.139835 51.554566,-0.139788 51.554647,-0.139695 51.554628,-0.139702 51.554615,-0.139726 51.554573,-0.139697 51.554566,-0.139713 51.554543,-0.139715 51.55454)))"
LB516,(East side) No.128,1113019,II,,1974-05-14,,,"POLYGON ((-0.196005 51.556464,-0.196003 51.556479,-0.195955 51.556475,-0.195944 51.556531,-0.19599 51.556534,-0.195986 51.55655,-0.196067 51.556557,-0.196086 51.556471,-0.196078 51.556471,-0.196005 51.556464))"
LB517,(West side) Hampstead Cemetery Mortuary Chapels,1113020,II,,1974-05-14,,,"POLYGON ((-0.199996 51.555298,-0.199974 51.555269,-0.199946 51.555278,-0.199948 51.555283,-0.199939 51.555285,-0.199936 51.55528,-0.199928 51.555282,-0.199924 51.555278,-0.199929 51.555275,-0.199894 51.555229,-0.199885 51.555232,-0.19988 51.555226,-0.199886 51.555223,-0.199884 51.555218,-0.199892 51.555216,-0.199898 51.555219,-0.200028 51.55518,-0.200026 51.555175,-0.200034 51.555173,-0.200039 51.555175,-0.200046 51.555174,-0.200048 51.555178,-0.200043 51.555179,-0.200045 51.555183,-0.200055 51.55518,-0.200055 51.555174,-0.200062 51.555173,-0.200064 51.555176,-0.200082 51.555181,-0.200087 51.555176,-0.200094 51.555181,-0.20009 51.555185,-0.2001 51.555199,-0.200109 51.5552,-0.200113 51.555206,-0.200105 51.555209,-0.200097 51.55522,-0.200102 51.555222,-0.200098 51.555227,-0.200087 51.555224,-0.200076 51.555228,-0.200077 51.55523,-0.200085 51.555229,-0.200088 51.555233,-0.200083 51.555234,-0.200085 51.555237,-0.20008 51.55524,-0.200076 51.555237,-0.200071 51.555239,-0.200084 51.555256,-0.200088 51.555261,-0.200079 51.555273,-0.200048 51.555283,-0.200071 51.555311,-0.200105 51.555301,-0.200124 51.555305,-0.200139 51.555325,-0.200144 51.555324,-0.200142 51.555321,-0.20015 51.555318,-0.200155 51.555321,-0.200159 51.55532,-0.200164 51.555324,-0.200157 51.555326,-0.20016 51.555329,-0.20017 51.555326,-0.200173 51.55532,-0.200183 51.55532,-0.200184 51.555322,-0.2002 51.555326,-0.200205 51.555322,-0.200215 51.555328,-0.200212 51.555331,-0.200222 51.555345,-0.200231 51.555344,-0.200231 51.555352,-0.200223 51.555352,-0.200216 51.555366,-0.200223 51.55537,-0.200216 51.555374,-0.200209 51.555371,-0.200197 51.555374,-0.200199 51.555377,-0.200207 51.555375,-0.200211 51.55538,-0.200205 51.555382,-0.200206 51.555386,-0.200198 51.555388,-0.200195 51.555386,-0.200065 51.555425,-0.200069 51.555429,-0.20006 51.555431,-0.200057 51.555428,-0.200049 51.55543,-0.200045 51.555426,-0.20005 51.555424,-0.200013 51.555375,-0.200005 51.555377,-0.200001 51.555371,-0.200005 51.555369,-0.200004 51.555365,-0.20001 51.555363,-0.200014 51.555366,-0.200046 51.555357,-0.200021 51.555326,-0.200016 51.555329,-0.200009 51.555331,-0.199988 51.555302,-0.199992 51.555301,-0.199996 51.555298))"
LB573,(South side) No.35,1113021,II,,1989-08-10,,,"POLYGON ((-0.135165 51.519411,-0.135233 51.51948,-0.13516 51.519508,-0.135039 51.519392,-0.135088 51.519373,-0.135114 51.519362,-0.135146 51.519395,-0.135159 51.519405,-0.135165 51.519411))"
LB575,CAMLEY STREET Steam Locomotive Water Point,1113023,II,,1974-05-14,,,"POLYGON ((-0.128393 51.535927,-0.128441 51.535974,-0.128553 51.53593,-0.128505 51.535883,-0.128393 51.535927))"
LB1471,(North West side) Parliament Hill Fields Lido,1113025,II,,1999-12-30,,,"POLYGON ((-0.150955 51.55624,-0.150934 51.556221,-0.151066 51.556165,-0.151086 51.556185,-0.151095 51.556182,-0.151111 51.556195,-0.151235 51.556142,-0.151249 51.556154,-0.151534 51.556036,-0.151583 51.556015,-0.151569 51.556003,-0.151666 51.555962,-0.151732 51.556022,-0.151714 51.556029,-0.151834 51.556141,-0.151843 51.556149,-0.151852 51.556146,-0.151869 51.556162,-0.151921 51.556212,-0.151923 51.556214,-0.15193 51.55622,-0.151924 51.556222,-0.151974 51.556271,-0.152005 51.5563,-0.152034 51.556326,-0.152054 51.556345,-0.152061 51.556352,-0.152067 51.55636,-0.152071 51.556367,-0.152075 51.556376,-0.15208 51.556389,-0.152084 51.556403,-0.152085 51.55641,-0.152085 51.556421,-0.152084 51.556431,-0.152082 51.556442,-0.152073 51.556457,-0.152064 51.556468,-0.152056 51.556476,-0.152043 51.556487,-0.152029 51.556496,-0.152013 51.556505,-0.152009 51.556506,-0.151991 51.556515,-0.151894 51.556555,-0.151817 51.556587,-0.151781 51.556604,-0.151786 51.556608,-0.151749 51.556624,-0.15173 51.556631,-0.151659 51.55666,-0.151663 51.556665,-0.151446 51.556755,-0.151438 51.556754,-0.151368 51.556783,-0.151352 51.55679,-0.151314 51.556806,-0.15131 51.556801,-0.151186 51.556852,-0.151099 51.556888,-0.151093 51.556891,-0.151077 51.556897,-0.151058 51.556903,-0.151039 51.556907,-0.15102 51.55691,-0.151018 51.55691,-0.150997 51.556912,-0.150958 51.556912,-0.150937 51.556909,-0.150922 51.556906,-0.150903 51.556902,-0.150885 51.556896,-0.150868 51.556889,-0.150852 51.556881,-0.150846 51.556876,-0.150839 51.556872,-0.150826 51.556863,-0.150808 51.556847,-0.150771 51.556813,-0.15077 51.556811,-0.150743 51.556786,-0.150739 51.556783,-0.150693 51.556739,-0.150686 51.556742,-0.150603 51.556666,-0.150612 51.556663,-0.150609 51.55666,-0.150482 51.556543,-0.150465 51.556549,-0.150399 51.55649,-0.150495 51.556451,-0.150506 51.556462,-0.150517 51.556458,-0.150528 51.556453,-0.15056 51.55644,-0.150847 51.556321,-0.150833 51.556308,-0.150951 51.556259,-0.150937 51.556248,-0.150938 51.556247,-0.150955 51.55624))"
LB577,(West side) Nos.14 AND 15 and attached railings and pillars,1113027,II,,1969-03-28,,,"POLYGON ((-0.131329 51.523868,-0.131475 51.523806,-0.131559 51.523883,-0.131635 51.523853,-0.131654 51.523872,-0.131661 51.523869,-0.131683 51.523868,-0.131704 51.52389,-0.1317 51.523902,-0.131692 51.523906,-0.131711 51.523924,-0.131636 51.523955,-0.131719 51.524033,-0.131571 51.524094,-0.131535 51.524109,-0.131472 51.52405,-0.131455 51.524035,-0.131293 51.523883,-0.131329 51.523868))"
LB1491,Monument to Martha Bianchi in Hampstead Cemetery,1113028,II,,1999-12-30,,,"POLYGON ((-0.198811 51.556986,-0.198811 51.556945,-0.198887 51.556946,-0.198899 51.556952,-0.198905 51.556959,-0.198906 51.556964,-0.198906 51.55697,-0.198906 51.556975,-0.1989 51.55698,-0.198895 51.556984,-0.198887 51.556985,-0.198811 51.556986))"
LB578,(West side) Nos.16-25 (Consecutive) and attached railings,1113029,II,,1969-03-28,,,"POLYGON ((-0.131588 51.52411,-0.131574 51.524099,-0.131571 51.524094,-0.131719 51.524033,-0.131852 51.523978,-0.131881 51.524008,-0.131747 51.524065,-0.131761 51.524079,-0.13178 51.524072,-0.131789 51.524081,-0.131836 51.524062,-0.131846 51.524073,-0.131901 51.524051,-0.13194 51.524087,-0.131902 51.524103,-0.131909 51.524109,-0.131893 51.524115,-0.131924 51.524145,-0.13186 51.524171,-0.131872 51.524182,-0.131912 51.524165,-0.131922 51.524175,-0.131946 51.524165,-0.13198 51.524198,-0.131917 51.524224,-0.131937 51.524246,-0.132002 51.524219,-0.132034 51.524249,-0.131971 51.524275,-0.131994 51.524296,-0.132015 51.524315,-0.132078 51.524291,-0.132101 51.524314,-0.132112 51.524323,-0.132049 51.52435,-0.132073 51.524371,-0.132136 51.524344,-0.132169 51.524374,-0.132125 51.524393,-0.132148 51.524417,-0.132209 51.524392,-0.132231 51.524392,-0.132244 51.524405,-0.132236 51.524419,-0.132238 51.524421,-0.13216 51.524453,-0.132185 51.524475,-0.132251 51.524447,-0.132285 51.524479,-0.132235 51.524499,-0.13226 51.524523,-0.132308 51.524502,-0.132342 51.524532,-0.132287 51.524555,-0.132139 51.524615,-0.132128 51.52462,-0.132125 51.524617,-0.132108 51.524601,-0.132077 51.524614,-0.13204 51.524579,-0.132071 51.524566,-0.132053 51.524549,-0.132022 51.524562,-0.131984 51.524526,-0.132015 51.524513,-0.13202 51.524512,-0.131999 51.524493,-0.131965 51.524507,-0.131929 51.524474,-0.131965 51.52446,-0.131944 51.524442,-0.13191 51.524456,-0.131874 51.524423,-0.131908 51.524409,-0.131886 51.524389,-0.131852 51.524404,-0.131816 51.52437,-0.13178 51.524335,-0.131813 51.524321,-0.131795 51.524305,-0.131761 51.524319,-0.131723 51.524284,-0.131762 51.524268,-0.131743 51.52425,-0.131704 51.524267,-0.131672 51.524235,-0.131709 51.524219,-0.131686 51.524199,-0.131649 51.524215,-0.13161 51.524178,-0.131646 51.524163,-0.131627 51.524147,-0.131593 51.524161,-0.131554 51.524124,-0.131588 51.52411))"
LB579,(West side) No.26 and attached railings,1113030,II,,1969-03-28,,,"POLYGON ((-0.132139 51.524615,-0.132287 51.524555,-0.132318 51.524582,-0.132387 51.524555,-0.132417 51.524584,-0.132337 51.524617,-0.1322 51.524674,-0.132179 51.524654,-0.132138 51.52467,-0.132093 51.52463,-0.132125 51.524617,-0.132128 51.52462,-0.132139 51.524615))"
LB580,(East side) Nos.36-46 (Consecutive) and attached railings and wall on Endsleigh Place return,1113031,II,,1969-03-28,,,"POLYGON ((-0.130066 51.524526,-0.130001 51.524553,-0.129972 51.524526,-0.130034 51.524498,-0.130007 51.524474,-0.130145 51.524413,-0.130149 51.524412,-0.130178 51.524399,-0.130217 51.524436,-0.130184 51.52445,-0.130203 51.524466,-0.130208 51.524464,-0.130234 51.524453,-0.13027 51.524486,-0.130243 51.524496,-0.130266 51.524516,-0.130291 51.524505,-0.130328 51.524539,-0.130297 51.524553,-0.13032 51.524574,-0.130324 51.524572,-0.130353 51.52456,-0.130391 51.524596,-0.130365 51.524608,-0.130382 51.524624,-0.13041 51.524612,-0.130447 51.524646,-0.130416 51.52466,-0.130435 51.524677,-0.130464 51.524663,-0.1305 51.524696,-0.13047 51.524709,-0.130489 51.524726,-0.130519 51.524712,-0.130555 51.524744,-0.130524 51.524757,-0.130543 51.524775,-0.130574 51.524762,-0.130607 51.524793,-0.130578 51.524806,-0.1306 51.524826,-0.130606 51.524823,-0.130629 51.524812,-0.130664 51.524844,-0.130641 51.524855,-0.130661 51.524873,-0.130685 51.524863,-0.130724 51.524897,-0.130693 51.524911,-0.130711 51.524928,-0.130717 51.524926,-0.130742 51.524915,-0.130809 51.524977,-0.130812 51.524979,-0.130814 51.524983,-0.130812 51.524987,-0.130807 51.524991,-0.130801 51.524996,-0.130793 51.525,-0.130739 51.525024,-0.130702 51.525041,-0.130691 51.525031,-0.130678 51.52502,-0.130555 51.525072,-0.130533 51.525049,-0.130603 51.525018,-0.130569 51.524989,-0.130512 51.525013,-0.130486 51.52499,-0.130543 51.524966,-0.130511 51.524938,-0.130456 51.524962,-0.130426 51.524935,-0.130483 51.524911,-0.130458 51.524887,-0.130401 51.524912,-0.130359 51.524874,-0.130387 51.524863,-0.130397 51.524872,-0.130427 51.524859,-0.1304 51.524835,-0.130342 51.52486,-0.130312 51.524832,-0.130369 51.524808,-0.130346 51.524787,-0.13029 51.524812,-0.130259 51.524785,-0.130317 51.52476,-0.130292 51.524737,-0.130233 51.524762,-0.130205 51.524737,-0.130265 51.524712,-0.130236 51.524686,-0.130177 51.524712,-0.130146 51.524685,-0.130206 51.524659,-0.130179 51.524635,-0.130185 51.524633,-0.130125 51.524579,-0.130061 51.524606,-0.130032 51.52458,-0.130093 51.524551,-0.130066 51.524526))"
LB581,(East side) Nos.47-53 (Consecutive) and attached railings to areas and wall to No.45 Tavistock Square,1113034,II,,1969-03-28,,,"POLYGON ((-0.129585 51.524046,-0.129625 51.524029,-0.129689 51.524002,-0.129694 51.523999,-0.129702 51.523997,-0.129711 51.523996,-0.129714 51.523996,-0.129723 51.523997,-0.12973 51.523998,-0.129738 51.524,-0.129743 51.524003,-0.129819 51.524071,-0.129856 51.524104,-0.129877 51.524125,-0.129915 51.524159,-0.129886 51.524172,-0.129904 51.524189,-0.129909 51.524188,-0.129934 51.524178,-0.129975 51.524214,-0.12995 51.524225,-0.129969 51.524243,-0.129995 51.524232,-0.130033 51.524269,-0.130055 51.524288,-0.130093 51.524322,-0.130065 51.524336,-0.130086 51.524355,-0.130114 51.524341,-0.13016 51.524384,-0.130131 51.524396,-0.130149 51.524412,-0.130145 51.524413,-0.130007 51.524474,-0.129945 51.524502,-0.129916 51.524476,-0.129975 51.524449,-0.129939 51.524418,-0.129881 51.524443,-0.12985 51.524415,-0.12991 51.524391,-0.129879 51.524362,-0.12982 51.524388,-0.129788 51.524359,-0.129849 51.524335,-0.129819 51.524309,-0.129761 51.524334,-0.129729 51.524307,-0.129789 51.524281,-0.129757 51.524252,-0.129698 51.524277,-0.129668 51.52425,-0.129729 51.524224,-0.129701 51.524199,-0.12964 51.524225,-0.129608 51.524196,-0.129668 51.524172,-0.129642 51.524146,-0.129531 51.524192,-0.129499 51.524164,-0.129523 51.524154,-0.129488 51.524122,-0.129611 51.524068,-0.129593 51.524052,-0.129585 51.524046))"
LB582,(South side) Nos.55-59 (Consecutive) and attached railings,1113035,II,,1974-05-14,,,"POLYGON ((-0.129248 51.524004,-0.129253 51.524009,-0.129379 51.523955,-0.129377 51.523953,-0.129455 51.52392,-0.129535 51.523886,-0.129613 51.523853,-0.129617 51.523857,-0.129708 51.523818,-0.129705 51.523815,-0.129668 51.523781,-0.129694 51.52377,-0.129671 51.52375,-0.129645 51.523761,-0.129632 51.523748,-0.129547 51.523667,-0.129455 51.523706,-0.129522 51.523767,-0.129473 51.523788,-0.129467 51.523781,-0.129469 51.523772,-0.129438 51.523744,-0.129397 51.523761,-0.129442 51.523802,-0.1294 51.52382,-0.129392 51.523812,-0.129393 51.523803,-0.129364 51.523776,-0.12932 51.523794,-0.129363 51.523834,-0.129321 51.523852,-0.129312 51.523844,-0.129317 51.523837,-0.129285 51.523809,-0.129247 51.523825,-0.129242 51.523827,-0.129283 51.523865,-0.12916 51.523923,-0.129248 51.524004))"
LB583,(West side) Church of Christ the King and attached railings and walls,1113038,I,,1954-06-10,,,"POLYGON ((-0.13115 51.523751,-0.131143 51.523744,-0.131147 51.523741,-0.131126 51.523722,-0.131121 51.523724,-0.131114 51.523717,-0.131119 51.523715,-0.13111 51.523706,-0.131124 51.523702,-0.131131 51.523708,-0.13115 51.523701,-0.131142 51.523693,-0.131159 51.523686,-0.131149 51.523678,-0.131142 51.523681,-0.131135 51.523673,-0.131127 51.523676,-0.131111 51.523662,-0.13112 51.523658,-0.131077 51.523618,-0.131068 51.523622,-0.131053 51.523608,-0.131069 51.523602,-0.131066 51.523598,-0.131078 51.523593,-0.131085 51.5236,-0.131126 51.523584,-0.131121 51.52358,-0.131137 51.523574,-0.131141 51.523577,-0.131179 51.523562,-0.131175 51.523558,-0.131192 51.523551,-0.131196 51.523554,-0.131222 51.523544,-0.13121 51.523533,-0.131216 51.52353,-0.131171 51.523488,-0.131159 51.523493,-0.131145 51.523478,-0.131152 51.523474,-0.131148 51.523471,-0.131155 51.523467,-0.131149 51.523461,-0.131163 51.523455,-0.131169 51.523461,-0.131222 51.523439,-0.131215 51.523432,-0.131238 51.523422,-0.131245 51.523429,-0.131289 51.523411,-0.131281 51.523405,-0.131299 51.523397,-0.131306 51.523404,-0.131365 51.52338,-0.131363 51.52337,-0.131377 51.523364,-0.131392 51.523367,-0.131461 51.523339,-0.131461 51.523328,-0.131476 51.523323,-0.131489 51.523326,-0.131507 51.523319,-0.131505 51.523315,-0.131537 51.523301,-0.131766 51.523205,-0.13177 51.523203,-0.1318 51.52323,-0.131817 51.523223,-0.131821 51.523227,-0.131837 51.523221,-0.131847 51.523229,-0.131832 51.523236,-0.131857 51.52326,-0.13189 51.523246,-0.131904 51.523259,-0.131903 51.52326,-0.131966 51.523319,-0.131975 51.523315,-0.132003 51.52334,-0.131992 51.523346,-0.131997 51.523352,-0.131992 51.523354,-0.131971 51.523362,-0.131973 51.523364,-0.131965 51.523368,-0.13197 51.523373,-0.131958 51.523378,-0.131952 51.523373,-0.131908 51.523392,-0.131914 51.523397,-0.1319 51.523403,-0.131894 51.523397,-0.13185 51.523416,-0.131856 51.523422,-0.131844 51.523428,-0.131839 51.523421,-0.131795 51.52344,-0.1318 51.523445,-0.131787 51.523451,-0.131781 51.523445,-0.131737 51.523465,-0.131742 51.52347,-0.13173 51.523474,-0.131789 51.523529,-0.131619 51.523602,-0.131382 51.523703,-0.131368 51.523709,-0.131334 51.523679,-0.131192 51.523741,-0.131185 51.523735,-0.131168 51.523744,-0.131174 51.523748,-0.131161 51.523753,-0.131156 51.523748,-0.13115 51.523751))"
LB576,(West side) The Cloisters Nos.1-5 (consec) and attached stone wall,1113043,II,,1969-03-28,,,"POLYGON ((-0.131475 51.523806,-0.131466 51.523799,-0.13151 51.523779,-0.131519 51.523788,-0.131669 51.523725,-0.131649 51.523707,-0.131662 51.5237,-0.131636 51.523677,-0.131622 51.523683,-0.131601 51.523663,-0.131453 51.523726,-0.131474 51.523743,-0.13144 51.523757,-0.131423 51.523741,-0.131408 51.523747,-0.131392 51.523731,-0.131406 51.523724,-0.131382 51.523703,-0.131368 51.523709,-0.131334 51.523679,-0.131192 51.523741,-0.131222 51.52377,-0.131209 51.523774,-0.131216 51.523782,-0.131209 51.52379,-0.131226 51.523806,-0.131243 51.523807,-0.13125 51.523813,-0.131264 51.523808,-0.131329 51.523868,-0.131475 51.523806))"
LB584,(West side) No.49,1113045,II,,1974-05-14,,,"POLYGON ((-0.115272 51.524963,-0.115318 51.524942,-0.115332 51.524935,-0.115396 51.524989,-0.115408 51.524997,-0.115363 51.525016,-0.115355 51.525009,-0.115337 51.525018,-0.115344 51.525025,-0.115297 51.525048,-0.115224 51.524985,-0.115272 51.524963))"
LB592,(West side) Nos.87-97 (Odd) and attached railings,1113047,II,,1969-03-28,,,"POLYGON ((-0.132843 51.522509,-0.132823 51.522517,-0.132815 51.522514,-0.132772 51.522475,-0.132939 51.522408,-0.132948 51.52242,-0.132977 51.522447,-0.133054 51.522415,-0.133082 51.522442,-0.133036 51.522461,-0.133005 51.522474,-0.133036 51.522501,-0.133064 51.522489,-0.133091 51.522513,-0.133061 51.522526,-0.13309 51.522553,-0.133119 51.52254,-0.133148 51.522568,-0.133119 51.52258,-0.133147 51.522605,-0.133176 51.522593,-0.133204 51.522618,-0.133174 51.522631,-0.1332 51.522655,-0.13323 51.522643,-0.133258 51.522669,-0.133229 51.522681,-0.133257 51.522708,-0.133288 51.522695,-0.133315 51.522721,-0.133286 51.522733,-0.133147 51.522791,-0.133126 51.522772,-0.133111 51.522778,-0.1331 51.522777,-0.133073 51.522754,-0.133078 51.522744,-0.133091 51.522739,-0.13307 51.522719,-0.133054 51.522725,-0.133045 51.522726,-0.133019 51.522702,-0.133022 51.522698,-0.133026 51.522694,-0.133037 51.522689,-0.133017 51.522671,-0.133004 51.522676,-0.132991 51.522677,-0.132964 51.52265,-0.132965 51.522646,-0.132982 51.522638,-0.132961 51.522618,-0.132947 51.522623,-0.132944 51.522624,-0.132941 51.522624,-0.132939 51.522623,-0.132935 51.522623,-0.132932 51.522622,-0.132906 51.522597,-0.132908 51.522591,-0.132924 51.522584,-0.1329 51.522562,-0.132885 51.522568,-0.132875 51.522568,-0.13285 51.522543,-0.13285 51.522539,-0.132868 51.522532,-0.132843 51.522509))"
